eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,number_of_detected_causes,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN12901,LCAIN12901-3,3,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,23.05455,66.292525,40.3749,4,"RACH Contention-Based Failures: recent=7687.25, baseline=1180.25, change=551.32% | RACH Setup Failed Number: recent=7961.50, baseline=1716.75, change=363.75% | RACH_att: recent=9717.50, baseline=3424.00, change=183.81% | RACH Contention-Based SR: recent=11.66, baseline=43.96, change=32.30%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10109,LCAIN10109-7,7,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,60.717825000000005,88.961325,29.110399999999995,5,"RACH Setup Failed Number: recent=7583.75, baseline=1313.75, change=477.26% | RACH Contention-Based Failures: recent=6619.50, baseline=1038.00, change=537.72% | RACH_att: recent=16501.50, baseline=8547.50, change=93.06% | RACH Contention-Based SR: recent=52.12, baseline=86.99, change=34.87% | RACH Non-Contention-Based SR: recent=66.56, baseline=78.87, change=12.31%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion. | Check HO-related RACH, target cell access, and PRACH settings."
LCAIN10509,LCAIN10509-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,47.1883,74.245325,25.133549999999996,4,"RACH Setup Failed Number: recent=35535.25, baseline=11440.50, change=210.61% | RACH Contention-Based Failures: recent=33701.50, baseline=9598.25, change=251.12% | RACH_att: recent=63714.75, baseline=35504.50, change=79.46% | RACH Contention-Based SR: recent=41.99, baseline=69.64, change=27.66%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10494,LCAIN10494-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,69.4183,84.46770000000001,17.037049999999997,5,"RACH Setup Failed Number: recent=11109.00, baseline=4211.00, change=163.81% | RACH Contention-Based Failures: recent=7099.75, baseline=2439.00, change=191.09% | RACH_att: recent=23226.25, baseline=12363.50, change=87.86% | RACH Contention-Based SR: recent=49.15, baseline=78.29, change=29.14% | RACH Non-Contention-Based SR: recent=56.02, baseline=64.38, change=8.36%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion. | Check HO-related RACH, target cell access, and PRACH settings."
LCAIN11982,LCAIN11982-7,7,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,50.073325000000004,65.17415,14.771949999999997,4,"RACH Setup Failed Number: recent=26949.25, baseline=11657.50, change=131.18% | RACH Contention-Based Failures: recent=24784.50, baseline=10414.75, change=137.97% | RACH_att: recent=49524.75, baseline=29393.50, change=68.49% | RACH Contention-Based SR: recent=31.81, baseline=49.58, change=17.77%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIE10001,LCAIE10001-6,6,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,78.590475,89.58307500000001,11.88165,5,"RACH Setup Failed Number: recent=42629.75, baseline=18053.00, change=136.14% | RACH Contention-Based Failures: recent=22585.75, baseline=8401.50, change=168.83% | RACH_att: recent=105664.50, baseline=71580.75, change=47.62% | RACH Contention-Based SR: recent=52.58, baseline=78.85, change=26.26% | RACH Non-Contention-Based SR: recent=65.88, baseline=76.07, change=10.19%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion. | Check HO-related RACH, target cell access, and PRACH settings."
LCAIN10494,LCAIN10494-1,1,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,81.782875,92.345,11.347899999999996,5,"RACH Setup Failed Number: recent=9256.75, baseline=2129.50, change=334.69% | RACH Contention-Based Failures: recent=4864.25, baseline=1070.25, change=354.50% | RACH_att: recent=25845.75, baseline=10553.50, change=144.90% | RACH Non-Contention-Based SR: recent=57.71, baseline=85.51, change=27.79% | RACH Contention-Based SR: recent=68.48, baseline=83.62, change=15.15%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check HO-related RACH, target cell access, and PRACH settings. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10370,LCAIN10370-6,6,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,81.536725,92.0394,11.267450000000004,3,"RACH Contention-Based Failures: recent=1553.50, baseline=641.00, change=142.36% | RACH Setup Failed Number: recent=2339.75, baseline=1435.00, change=63.05% | RACH Contention-Based SR: recent=74.38, baseline=88.22, change=13.84%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10110,LCAIN10110-3,3,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,79.239375,90.3885,11.149850000000008,4,"RACH Contention-Based Failures: recent=804.50, baseline=250.75, change=220.84% | RACH Setup Failed Number: recent=1298.50, baseline=880.00, change=47.56% | RACH_att: recent=3804.50, baseline=2655.00, change=43.30% | RACH Contention-Based SR: recent=68.05, baseline=82.61, change=14.56%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIE10001,LCAIE10001-2,2,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,83.28922499999999,93.947475,10.68405,4,"RACH Setup Failed Number: recent=13199.75, baseline=4336.75, change=204.37% | RACH Contention-Based Failures: recent=3315.25, baseline=995.25, change=233.11% | RACH Contention-Based SR: recent=52.35, baseline=90.59, change=38.24% | RACH Non-Contention-Based SR: recent=26.46, baseline=47.35, change=20.90%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH configuration, root sequence planning, and access congestion. | Check HO-related RACH, target cell access, and PRACH settings."
LCAIN10496,LCAIN10496-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,84.5818,92.598375,8.721849999999996,3,"RACH Contention-Based Failures: recent=5429.50, baseline=2523.75, change=115.14% | RACH Setup Failed Number: recent=8764.25, baseline=7116.75, change=23.15% | RACH Contention-Based SR: recent=77.29, baseline=87.93, change=10.64%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN12265,LCAIN12265-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,79.597025,89.8288,8.326149999999998,4,"RACH Contention-Based Failures: recent=29965.00, baseline=11694.25, change=156.24% | RACH Setup Failed Number: recent=38436.75, baseline=18852.25, change=103.88% | RACH_att: recent=144616.50, baseline=114962.25, change=25.79% | RACH Contention-Based SR: recent=70.78, baseline=84.69, change=13.91%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load. | Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10855,LCAIN10855-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,71.693625,79.955475,7.7327999999999975,1,"RACH Contention-Based SR: recent=49.35, baseline=74.16, change=24.81%",Contention-Based RACH SR Drop,RACH Contention-Based SR,Contention-based RACH success rate decreased.,"Check PRACH configuration, root sequence planning, and access congestion.","Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10989,LCAIN10989-5,5,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,73.136025,84.14127500000001,7.317049999999995,4,"RACH Setup Failed Number: recent=6614.25, baseline=3644.00, change=81.51% | RACH Contention-Based Failures: recent=6391.00, baseline=3327.75, change=92.05% | RACH_att: recent=24195.75, baseline=20138.75, change=20.15% | RACH Contention-Based SR: recent=64.17, baseline=77.13, change=12.97%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN12053,LCAIN12053-6,6,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,80.268525,87.87965,6.973549999999996,4,"RACH Setup Failed Number: recent=8208.75, baseline=4250.50, change=93.12% | RACH Contention-Based Failures: recent=7645.00, baseline=3793.50, change=101.53% | RACH_att: recent=38131.50, baseline=30710.00, change=24.17% | RACH Contention-Based SR: recent=75.48, baseline=84.65, change=9.17%",RACH Setup Failures,RACH Setup Failed Number,RACH setup failures increased.,"Check PRACH parameters, root sequence planning, coverage, interference, and access load.","Check PRACH parameters, root sequence planning, coverage, interference, and access load. | Check preamble congestion, PRACH configuration, root sequence, and access load. | Check access load, coverage, PRACH capacity, and random access configuration. | Check PRACH configuration, root sequence planning, and access congestion."
LCAIN10984,LCAIN10984-3,3,RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,78.127825,83.17462499999999,5.075400000000002,1,"RACH Contention-Based Failures: recent=6889.75, baseline=5726.00, change=20.32%",Contention-Based RACH Failure,RACH Contention-Based Failures,Contention-based RACH failures increased.,"Check preamble congestion, PRACH configuration, root sequence, and access load.","Check preamble congestion, PRACH configuration, root sequence, and access load."
LCAIN12920,LCAIN12920-3,3,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,75.67935,97.142025,20.59785,3,"L.RRC.ReEstFail.NoCntx: recent=4.75, baseline=2.50, change=90.00% | RRC Reestablish Failures(times): recent=4.75, baseline=3.00, change=58.33% | L.RRC.ReEstFail.Rej: recent=4.75, baseline=2.75, change=72.73%",No Context,L.RRC.ReEstFail.NoCntx,No context for re-establishment.,Check context retention and source cell.,"Check context retention and source cell. | Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission."
LCAIN10692,LCAIN10692-6,6,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,73.8159,92.00524999999999,19.48135,3,"RRC Reestablish Failures(times): recent=78.00, baseline=26.00, change=200.00% | L.RRC.ReEstFail.Rej: recent=77.50, baseline=26.00, change=198.08% | L.RRC.ReEstFail.NoCntx: recent=77.50, baseline=26.00, change=198.08%",Re-establishment Failure,RRC Reestablish Failures(times),RRC re-establishment failures increased.,"Check RLF causes, coverage, and re-establishment parameters.","Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission. | Check context retention and source cell."
LCAIN10800,LCAIN10800-1,1,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,74.026725,89.396625,16.652499999999996,4,"L.E-RAB.AbnormRel.Radio: recent=7.00, baseline=3.25, change=115.38% | RRC Reestablish Failures(times): recent=12.75, baseline=7.00, change=82.14% | L.RRC.ReEstFail.Rej: recent=12.75, baseline=6.75, change=88.89% | L.RRC.ReEstFail.NoCntx: recent=12.75, baseline=6.75, change=88.89%",Radio Link Failure,L.E-RAB.AbnormRel.Radio,Radio failures causing RLF.,Check radio quality and coverage.,"Check radio quality and coverage. | Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission. | Check context retention and source cell."
LCAIN12226,LCAIN12226-3,3,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,68.563425,86.1508,15.055700000000002,3,"RRC Reestablish Failures(times): recent=6.75, baseline=1.50, change=350.00% | L.RRC.ReEstFail.Rej: recent=6.75, baseline=1.50, change=350.00% | L.RRC.ReEstFail.NoCntx: recent=6.75, baseline=1.50, change=350.00%",Re-establishment Failure,RRC Reestablish Failures(times),RRC re-establishment failures increased.,"Check RLF causes, coverage, and re-establishment parameters.","Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission. | Check context retention and source cell."
LCAIN10859,LCAIN10859-1,1,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,74.88755,86.76805,13.92635,3,"RRC Reestablish Failures(times): recent=10.50, baseline=8.00, change=31.25% | L.RRC.ReEstFail.Rej: recent=10.50, baseline=8.00, change=31.25% | L.RRC.ReEstFail.NoCntx: recent=10.50, baseline=8.00, change=31.25%",Re-establishment Failure,RRC Reestablish Failures(times),RRC re-establishment failures increased.,"Check RLF causes, coverage, and re-establishment parameters.","Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission. | Check context retention and source cell."
LCAIN10118_CITY center,LCAIN10118-2,2,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,73.06635,86.12697499999999,12.928449999999998,0,None,Unknown,No strong related counter detected,"Main KPI degraded, but no related counter passed its threshold.","Check raw counters, alarms, availability, recent changes, and nearby cells manually.",Manual investigation needed
LCAIN10592,LCAIN10592-5,5,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,77.96715,91.41795,11.7864,0,None,Unknown,No strong related counter detected,"Main KPI degraded, but no related counter passed its threshold.","Check raw counters, alarms, availability, recent changes, and nearby cells manually.",Manual investigation needed
LCAIN12901,LCAIN12901-1,1,RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,85.5277,94.226725,10.837849999999996,4,"L.E-RAB.AbnormRel.Radio: recent=2.50, baseline=0.25, change=900.00% | RRC Reestablish Failures(times): recent=9.25, baseline=4.50, change=105.56% | L.RRC.ReEstFail.Rej: recent=8.75, baseline=4.50, change=94.44% | L.RRC.ReEstFail.NoCntx: recent=8.75, baseline=4.50, change=94.44%",Radio Link Failure,L.E-RAB.AbnormRel.Radio,Radio failures causing RLF.,Check radio quality and coverage.,"Check radio quality and coverage. | Check RLF causes, coverage, and re-establishment parameters. | Check context availability and network admission. | Check context retention and source cell."
