eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,rf_severity,analysis_confidence,confidence_reason,stat_significant,p_value,significance_note,number_of_detected_causes,rca_pattern,supporting_evidence,next_investigation_steps,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10650_Site_0650,LCAIN10650-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.1154,2.9869,96.13646255314873,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,6,Coverage,DL Radio Failure: DL RBLER changed by 588.50 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 92.56 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 53.39 | DL Throughput Degradation: (HU) Cell DL Average Throughput (Mbps) changed by 64.48 | User Throughput Degradation: (HU) User DL Average Throughput (Mbps) changed by 61.80,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=1.05, baseline=0.15, change=588.50% | DL Traffic QCI-9: recent=0.09, baseline=1.25, change=92.56% | (HU)CEU Cell Downlink Average Throughput: recent=5.70, baseline=12.24, change=53.39% | (HU) Cell DL Average Throughput (Mbps): recent=6.63, baseline=18.67, change=64.48% | (HU) User DL Average Throughput (Mbps): recent=9.35, baseline=24.48, change=61.80%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU scheduling, cell edge SINR, and coverage. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check radio quality, PRB load, scheduler behavior, and user distribution."
LCAIN10581,LCAIN10581-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.3218,8.0106,95.98282275984322,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,7,Coverage,DL Radio Failure: DL RBLER changed by 56.39 | CA User Drop: L.CA.UE.Avg changed by 83.53 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 84.67 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 73.14 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 93.51,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.41, baseline=0.26, change=56.39% | L.CA.UE.Avg: recent=0.07, baseline=0.42, change=83.53% | (HU)CEU Cell Downlink Average Throughput: recent=0.55, baseline=3.57, change=84.67% | DL Traffic QCI-9: recent=0.32, baseline=1.18, change=73.14% | L.CA.DLSCell.Act.Att: recent=79.00, baseline=1218.00, change=93.51%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN10512_Site_512,LCAIN10512-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.0879,2.1503,95.91219829791193,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,10,Coverage,DL Radio Failure: DL RBLER changed by 475.07 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 88.41 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 52.75 | Radio Quality Issue: DL Average CQI changed by 29.29 | Border UE Increase: L.Traffic.User.BorderUE.Avg changed by 966.67,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.83, baseline=0.15, change=475.07% | DL Traffic QCI-9: recent=0.09, baseline=0.76, change=88.41% | (HU)CEU Cell Downlink Average Throughput: recent=5.14, baseline=10.87, change=52.75% | DL Average CQI: recent=7.90, baseline=11.17, change=29.29% | L.Traffic.User.BorderUE.Avg: recent=0.03, baseline=0.00, change=966.67%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU scheduling, cell edge SINR, and coverage. | Check interference, PCI conflict/confusion, antenna tilt, azimuth, and coverage. | Check coverage overlap, handover zones, and cell dominance."
LCAIN12873,LCAIN12873-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.662,15.6427,95.76799401637824,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,6,Radio Quality,DL Radio Failure: DL RBLER changed by 27.97 | CA User Drop: L.CA.UE.Avg changed by 56.78 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 38.99 | Poor Modulation Efficiency: (HU) PDSCH MCS changed by 18.41 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 62.46,"Check CQI/SINR/BLER/MCS, interference indicators, PCI issues, antenna azimuth/tilt, coverage dominance, and recent physical changes.","DL RBLER: recent=0.30, baseline=0.24, change=27.97% | L.CA.UE.Avg: recent=0.07, baseline=0.17, change=56.78% | DL Traffic QCI-9: recent=0.37, baseline=0.60, change=38.99% | (HU) PDSCH MCS: recent=12.19, baseline=14.94, change=18.41% | L.CA.DLSCell.Act.Att: recent=244.00, baseline=650.00, change=62.46%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CQI, SINR, interference, antenna direction, and coverage. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN11826,LCAIN11826-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,2.15,48.3301,95.55142654370673,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,6,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | CA User Drop: L.CA.UE.Avg changed by 92.77 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 91.39 | SCell Addition Issue: L.CA.DLSCell.Add.Att changed by 95.14,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | L.CA.UE.Avg: recent=0.37, baseline=5.11, change=92.77% | DL Traffic QCI-9: recent=1.66, baseline=19.29, change=91.39% | L.CA.DLSCell.Add.Att: recent=1091.00, baseline=22439.00, change=95.14%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check CA activation, SCell availability, and CA parameters. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements."
LCAIN10130_Site_144,LCAIN10130-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,3.2719,66.0634,95.04733331920548,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,8,Coverage,DL Radio Failure: DL RBLER changed by 1040.23 | CA User Drop: L.CA.UE.Avg changed by 85.56 | Border UE Increase: L.Traffic.User.BorderUE.Avg changed by 194.34 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 20.78 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 95.79,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.40, baseline=0.04, change=1040.23% | L.CA.UE.Avg: recent=0.31, baseline=2.17, change=85.56% | L.Traffic.User.BorderUE.Avg: recent=0.05, baseline=0.02, change=194.34% | (HU)CEU Cell Downlink Average Throughput: recent=9.58, baseline=12.09, change=20.78% | L.CA.DLSCell.Act.Att: recent=1151.00, baseline=27312.00, change=95.79%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check coverage overlap, handover zones, and cell dominance. | Check CEU scheduling, cell edge SINR, and coverage. | Check SCell configuration, CA licensing, and secondary carriers."
ICAIN12934,ICAIN12934-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.2576,4.9347,94.77982450807546,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,1,Radio Quality,DL Radio Failure: DL RBLER changed by 882.69,"Check CQI/SINR/BLER/MCS, interference indicators, PCI issues, antenna azimuth/tilt, coverage dominance, and recent physical changes.","DL RBLER: recent=0.28, baseline=0.03, change=882.69%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions."
LCAIN10498,LCAIN10498-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,0.9456,17.9475,94.73129962390306,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,6,Coverage,DL Radio Failure: DL RBLER changed by 1339.48 | Border UE Increase: L.Traffic.User.BorderUE.Avg changed by 829.74 | Radio Quality Issue: DL Average CQI changed by 21.38 | Poor Modulation Efficiency: (HU) PDSCH MCS changed by 23.58 | DL Throughput Degradation: (HU) Cell DL Average Throughput (Mbps) changed by 25.83,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.72, baseline=0.05, change=1339.48% | L.Traffic.User.BorderUE.Avg: recent=0.18, baseline=0.02, change=829.74% | DL Average CQI: recent=8.28, baseline=10.53, change=21.38% | (HU) PDSCH MCS: recent=10.10, baseline=13.21, change=23.58% | (HU) Cell DL Average Throughput (Mbps): recent=15.47, baseline=20.86, change=25.83%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check interference, PCI conflict/confusion, antenna tilt, azimuth, and coverage. | Check CQI, SINR, interference, antenna direction, and coverage. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion."
LCAIN11826,LCAIN11826-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,1.9115,31.4268,93.9176117199333,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,7,Outage,Cell Unavailability: (HU) Cell Unavail Time (s) changed by 727.22 | Availability Issue: Availability changed by 66.96 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 93.91 | CA User Drop: L.CA.UE.Avg changed by 91.55 | SCell Addition Issue: L.CA.DLSCell.Add.Att changed by 94.86,"Check cell/site availability, active alarms, administrative state, power, transmission, S1, and planned work before RF tuning.","(HU) Cell Unavail Time (s): recent=65805.00, baseline=7955.00, change=727.22% | Availability: recent=23.84, baseline=90.79, change=66.96% | DL Traffic QCI-9: recent=1.91, baseline=31.34, change=93.91% | L.CA.UE.Avg: recent=1.27, baseline=14.98, change=91.55% | L.CA.DLSCell.Add.Att: recent=2665.00, baseline=51823.00, change=94.86%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check alarms, S1 issue, manual outage, system outage, and site availability. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check CA configuration and inter-frequency measurements."
LCAIN10368,LCAIN10368-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-18 to 2026-05-18,2026-05-11 to 2026-05-11,1.485,20.9561,92.91375780798909,Critical,Medium,statistical test unavailable,False,,Advisory only - degradation is retained because threshold was crossed,8,Coverage,DL Radio Failure: DL RBLER changed by 67.54 | CA User Drop: L.CA.UE.Avg changed by 78.22 | Default Bearer Traffic Drop: DL Traffic QCI-9 changed by 69.13 | Cell Edge Throughput: (HU)CEU Cell Downlink Average Throughput changed by 53.50 | SCell Activation Issue: L.CA.DLSCell.Act.Att changed by 76.74,"Check TA distribution, cell-edge users, overshooting, weak coverage, antenna tilt/azimuth, neighbor dominance, and coverage holes.","DL RBLER: recent=0.31, baseline=0.19, change=67.54% | L.CA.UE.Avg: recent=0.42, baseline=1.94, change=78.22% | DL Traffic QCI-9: recent=1.48, baseline=4.80, change=69.13% | (HU)CEU Cell Downlink Average Throughput: recent=7.03, baseline=15.11, change=53.50% | L.CA.DLSCell.Act.Att: recent=2035.00, baseline=8748.00, change=76.74%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU scheduling, cell edge SINR, and coverage. | Check SCell configuration, CA licensing, and secondary carriers."
